uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
data-pipeline,Data Pipeline,Data Flow|ETL Pipeline|Data Workflow|Processing Pipeline,,An automated workflow that moves and transforms data from source systems through various processing stages to destination systems for analysis or storage.,data-management,,Source: data-management-glossary.md,
data-preprocessing,Data Preprocessing,Data Preparation|Data Cleaning|Data Processing|Data Transformation|Data Cleansing,,"The process of cleaning, transforming, and preparing raw data for analysis by handling missing values, removing inconsistencies, and formatting data appropriately.",data-management,,"Source: ai-glossary.md, data-management-glossary.md",
data-privacy,Data Privacy,Information Privacy|Personal Data Protection|Privacy Protection|Confidentiality,,"The protection of personal and sensitive information from unauthorized access, use, or disclosure, ensuring compliance with privacy regulations and user consent.",platform-services,,Source: data-management-glossary.md,
data-profiling,Data Profiling,Data Analysis|Data Assessment|Data Examination|Data Review,,"The process of analyzing data to understand its structure, content, quality, and relationships, providing insights for data quality improvement and governance.",operations,,Source: data-management-glossary.md,
data-quality,Data Quality,DQ|Information Quality|Data Integrity|Data Reliability,,"The measure of data's accuracy, completeness, consistency, reliability, and timeliness, ensuring it meets requirements for its intended use.",operations,,Source: data-management-glossary.md,
data-repository,Data Repository,Data Store|Information Repository|Data Storage|Data Archive,,"A centralized location where data is stored, organized, and managed, providing controlled access and serving as a single source of truth.",data-management,,Source: data-management-glossary.md,
data-science,Data Science,Data Analytics Science|Data Analytics|Predictive Analytics,,"An interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowledge and insights from structured and unstructured data.",data-management,,Source: data-management-glossary.md,
data-security,Data Security,Information Security|Data Protection|Data Protection|Information Security,,"The practice of protecting data from unauthorized access, corruption, or theft through various security measures, controls, and technologies.",platform-services,,Source: data-management-glossary.md,
data-stewardship,Data Stewardship,Data Custodianship|Information Stewardship|Data Guardianship|Data Management,,"The management and oversight of data assets to ensure data quality, compliance, and proper usage according to organizational policies and standards.",operations,,Source: data-management-glossary.md,
data-transformation,Data Transformation,Data Conversion|Data Formatting|Data Conversion|Data Restructuring,,"The process of converting data from one format, structure, or value set to another to make it suitable for analysis, integration, or specific use cases.",data-management,,Source: data-management-glossary.md,
data-validation,Data Validation,Data Verification|Quality Validation|Data Verification|Data Checking,,"The process of checking data accuracy, completeness, and conformity to defined rules and standards to ensure data quality and reliability.",operations,,Source: data-management-glossary.md,
data-visualization,Data Visualization,Information Visualization|Visual Analytics|Data Graphics|Visual Representation,,"The graphical representation of data and information using charts, graphs, maps, and other visual elements to communicate insights effectively.",data-management,,Source: data-management-glossary.md,
data-warehouse,Data Warehouse,DW|DWH|Enterprise Data Warehouse|Analytical Database|Decision Support Database,,"A centralized repository that stores integrated, historical data from multiple sources, optimized for query performance and analytical processing.",data-management,,Source: data-management-glossary.md,
database,Database,DB|Data Base|Information Database|Data Store|Information System|Data Repository,,"An organized collection of structured data stored electronically in a computer system, designed for efficient storage, retrieval, and management of information.",data-management,,"Source: data-management-glossary.md, software-dev-glossary.md",
database-growth-rate,Database Growth Rate,DGR|List Growth Rate|Database Expansion|Contact Growth Rate|Database Increase Rate,,"The percentage increase in total contact records within the CRM database over a specified time period, calculated by comparing current database size to previous period size.",data-management,,Source: marketing-terms-glossary.md,
database-management-system,Database Management System,DBMS|Database Engine|Data Management Software|Data Management System,,"Software that provides an interface for users and applications to interact with databases, handling data storage, retrieval, and administration functions.",software-development,,"Source: data-management-glossary.md, software-dev-glossary.md",
debt-service-coverage-ratio,Debt Service Coverage Ratio,DSCR|Debt Coverage Ratio|Loan Coverage Ratio|Debt Service Ratio,,A financial metric that measures a property's ability to service its debt by comparing net operating income to total debt service payments.,strategy-planning,,Source: retail-property-glossary.md,
debugging,Debugging,Debug|Error Fixing|Troubleshooting|Error Resolution,,"The process of identifying, analyzing, and fixing errors or defects in software code to ensure proper functionality and performance.",software-development,,Source: software-dev-glossary.md,
deep-learning,Deep Learning,DL|Deep Neural Networks|Multi-Layer Learning|Neural Deep Learning,,A subset of machine learning that uses artificial neural networks with multiple layers to analyze and learn patterns from large amounts of data.,ai-machine-learning,,Source: ai-glossary.md,
definition-of-done,Definition of Done,DoD|DoD|Done Criteria,,A clear and concise statement of the criteria a product increment must satisfy to be accepted by the team.,product-management,,Source: product-management-glossary.md,
delivery-condition,Delivery Condition,As-Is|Vanilla Shell|Gray Shell|White Box|Turnkey|Space Condition|Delivery Standard,,"The specific state in which a landlord must deliver retail space to a tenant, ranging from as-is condition to turnkey ready. Common delivery conditions include vanilla shell (finished with basic systems), gray shell (unfinished space), white box (basic finished space), or turnkey (fully completed and ready for occupancy).",leasing-tenancy,,Source: retail-property-glossary.md,
denormalization,Denormalization,Data Denormalization|Performance Optimization|Query Optimization,,The process of adding redundant data to a normalized database to improve query performance and reduce the complexity of data retrieval operations.,data-management,,Source: data-management-glossary.md,
deployment,Deployment,Model Deployment|Production Deployment|Implementation|Release|Software Deployment|Application Deployment|Installation,,"The process of making software applications available for use in production environments, including installation, configuration, and release management.",operations,,"Source: ai-glossary.md, software-dev-glossary.md",
devops,DevOps,Development Operations|Development Operations|Collaborative Development,,"A set of practices that combines software development and IT operations to improve collaboration, automate processes, and accelerate software delivery cycles.",product-management,,Source: software-dev-glossary.md,
digital-marketing,Digital Marketing,Online Marketing|Internet Marketing|Web Marketing|Digital Advertising,,"Online marketing strategies and tactics used to promote rental properties, including social media advertising, search engine optimization, and digital listing platforms.",marketing-seo,,Source: retail-property-glossary.md,
digital-pr,Digital PR,Online PR|Digital public relations|Online publicity,,"The practice of securing online coverage and mentions from digital publications, influencers, and online media outlets to build brand awareness and acquire high-quality backlinks.",marketing-seo,,Source: seo-glossary.md,
digital-transformation,Digital Transformation,Digitalization|Digital modernization|Technology transformation|Digital evolution,,"The integration of digital technology into all areas of a business, fundamentally changing how businesses operate and deliver value to customers.",software-development,,Source: business-plan-glossary.md,
dimensional-modeling,Dimensional Modeling,Star Schema|Snowflake Schema|Analytical Modeling|OLAP Modeling,,A data modeling technique used in data warehousing that structures data into facts and dimensions to optimize analytical queries and reporting.,ai-machine-learning,,Source: data-management-glossary.md,
directory-structure,Directory Structure,,,,operations,,Source: process-management-glossary.md,
disruptive-innovation,Disruptive Innovation,Market Disruption,,"An innovation that creates a new market and value network, disrupting existing markets and displacing established leaders.",strategy-planning,,Source: lean-startup-glossary.md,
distributed-system,Distributed System,Distributed Computing|Network System|Network Architecture|Distributed Computing,,A software system whose components are located on networked computers that communicate and coordinate their actions through message passing.,software-development,,Source: software-dev-glossary.md,
distribution-center,Distribution Center,DC|Fulfillment Center|Warehouse Distribution Facility,,"A large warehouse facility designed for receiving, storing, and shipping goods, typically located in industrial areas with good transportation access.",leasing-tenancy,,Source: retail-property-glossary.md,
docker,Docker,Docker Platform|Docker Container|Container Platform|Application Packaging,,"A containerization platform that enables developers to package applications and their dependencies into lightweight, portable containers for consistent deployment.",software-development,,Source: software-dev-glossary.md,
document-relationships,Document Relationships,,,,operations,,Source: process-management-glossary.md,
documentation,Documentation,Docs|Software Documentation|Technical Documentation|Manual|Guide,,"Written materials that explain software functionality, architecture, usage instructions, and development processes for developers and users.",operations,,Source: software-dev-glossary.md,
documentation-relationships,Documentation Relationships,,,,operations,,Source: process-management-glossary.md,
domain-authority,Domain Authority,DA|Domain strength|Site authority,,"A predictive metric developed by Moz that estimates how well a website will rank on search engines, scored from 0-100, helping benchmark competitive strength.",marketing-seo,,Source: seo-glossary.md,
e-e-a-t,E-E-A-T,EEAT|Double-E-A-T|Google quality guidelines,,"Google's content quality framework evaluating whether content demonstrates first-hand Experience, Expertise, Authoritativeness, and Trustworthiness, critical for YMYL topics.",marketing-seo,,Source: seo-glossary.md,
early-adopters,Early Adopters,,,The first group of customers willing to try new products and provide critical feedback for refinement.,marketing-seo,,Source: lean-startup-glossary.md,
edge-ai,Edge AI,Edge Computing AI|Local AI|Distributed AI|Local Processing,,"AI processing that occurs locally on devices or edge computing infrastructure rather than in centralized cloud servers, enabling faster response times and reduced latency.",ai-machine-learning,,Source: ai-glossary.md,
effective-rent,Effective Rent,True Rent|Net Effective Rent|Actual Rent|Total Occupancy Cost,,"The total actual rent paid by a tenant including minimum rent, additional rent, percentage rent, and any other charges, minus any concessions such as free rent periods or tenant improvement allowances. Effective rent provides the true cost of occupancy and helps compare different lease proposals on an equivalent basis.",strategy-planning,,Source: retail-property-glossary.md,
elevator-pitch,Elevator Pitch,Pitch,,"A brief, persuasive speech to spark interest in an idea or product, typically in 30 to 60 seconds.",operations,,Source: lean-startup-glossary.md,
elt,ELT,"Extract, Load, Transform|Extract|Load|Transform|Load-then-Transform|Modern ETL",,"A data integration approach that extracts data from sources, loads it directly into the target system, then transforms it using the target system's processing power.",software-development,,Source: data-management-glossary.md,
email-bounce-rate,Email Bounce Rate,EBR|Bounce Percentage|Email Rejection Rate|Delivery Failure Rate|Email Bounce Percentage,,"The percentage of sent emails that are rejected by recipient mail servers and fail to deliver, calculated by dividing bounced emails by total sent and multiplying by 100, indicating list health and data quality.",data-management,,Source: marketing-terms-glossary.md,
email-click-through-rate,Email Click-Through Rate,CTR|ECTR|Click Rate|Email CTR|Link Click Rate|Email Click Rate,,"The percentage of email recipients who click on at least one link within the email content, calculated by dividing unique clicks by total delivered emails and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
email-open-rate,Email Open Rate,EOR|Open Rate|Email Opens|Message Open Rate|Email Engagement Rate,,"The percentage of delivered emails that are opened by recipients, calculated by dividing unique opens by total delivered emails and multiplying by 100, indicating subject line effectiveness and audience engagement.",marketing-seo,,Source: marketing-terms-glossary.md,
email-sms-deliverability-rate,Email SMS Deliverability Rate,EDR|Deliverability Rate|Delivery Success Rate|Message Delivery Rate|Inbox Placement Rate|Delivery Rate,,"The percentage of emails and SMS messages successfully delivered to recipient inboxes without bouncing or being rejected, calculated by dividing delivered messages by total sent and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
embedding,Embedding,Vector Embedding|Word Embedding|Vector Representation|Numerical Encoding,,"A mathematical representation that converts words, images, or other data into numerical vectors that AI models can process and understand for similarity comparisons.",ai-machine-learning,,Source: ai-glossary.md,
encryption,Encryption,Data Encryption|Cryptographic Protection|Data Encoding|Cryptographic Encoding|Encoding|Cryptography,,The process of converting readable data into encoded format to protect sensitive information from unauthorized access during storage or transmission.,platform-services,,"Source: data-management-glossary.md, software-dev-glossary.md",
energy-management-system,Energy Management System,EMS|Building Energy Management|Energy Control System|Smart Energy System,,"Integrated technology solutions that monitor, control, and optimize energy consumption in buildings to reduce costs and improve efficiency.",software-development,,Source: retail-property-glossary.md,
environment,Environment,Env|Software Environment|Runtime Environment|Platform|Runtime Context,,"A collection of hardware and software configurations where applications are developed, tested, or deployed, such as development, staging, or production environments.",platform-services,,Source: software-dev-glossary.md,
environmental-compliance,Environmental Compliance,Environmental Regulations Compliance|Environmental Standards|Green Compliance,,"Adherence to federal, state, and local environmental regulations and standards that govern property operations, including waste management, air quality, and hazardous materials.",strategy-planning,,Source: retail-property-glossary.md,
escalation-clause,Escalation Clause,Rent Escalation|Annual Increase|CPI Adjustment|Rent Increase Provision|Adjustment Clause|Rent Escalation Clause|Increase Provision|Step-Up Clause,,"A lease provision that allows landlords to increase rent or other charges over the lease term, typically tied to increases in operating expenses, inflation indices, or predetermined fixed amounts. Escalations help landlords maintain income levels despite rising operational costs and are usually applied annually on lease anniversary dates.",leasing-tenancy,,Source: retail-property-glossary.md,
etl,ETL,"Extract, Transform, Load|Extract|Transform|Load|Data Integration Process|Data Pipeline",,"A data integration process that extracts data from various sources, transforms it to meet requirements, and loads it into a target system for analysis.",software-development,,Source: data-management-glossary.md,
eviction-process,Eviction Process,Tenant Eviction|Legal Eviction|Dispossession Process|Tenant Removal,,"The legal procedure by which a landlord removes a tenant from rental property due to lease violations, non-payment of rent, or other breaches of the rental agreement.",property-management,,Source: retail-property-glossary.md,
exclusive-use-clause,Exclusive Use Clause,Exclusivity Clause|Non-Compete Clause|Tenant Protection Clause|Competition Restriction,,A lease provision that prevents the landlord from leasing space to competitors or businesses that would directly compete with the tenant's operations.,leasing-tenancy,,Source: retail-property-glossary.md,
exclusivity-provision,Exclusivity Provision,Non-Competition Clause|Exclusive Use Provision|Competition Protection|Exclusive Rights,,A lease clause that prohibits landlords from leasing space in the same property to competing businesses or specific categories of retailers. Exclusivity provisions protect tenants from direct competition within the shopping center and are particularly important for specialty retailers or restaurants seeking to maintain market position.,leasing-tenancy,,Source: retail-property-glossary.md,
executive-summary,Executive Summary,Business summary|Overview section|Executive overview|Business synopsis,,A brief overview of a business plan that highlights the most important points and key information for stakeholders and potential investors.,strategy-planning,,Source: business-plan-glossary.md,
experience-analytics,Experience Analytics,XA|Customer Experience Analytics|Experience Intelligence|Interaction Analytics,,The systematic collection and analysis of data from customer interactions to understand and improve service experiences.,data-management,,Source: service-as-product-glossary.md,
experience-design,Experience Design,XD|Experience Strategy|User Experience Design|Service Experience Design,,The practice of designing products and services with a focus on the quality and enjoyment of the total experience.,service-design,,Source: service-as-product-glossary.md,
experiment,Experiment,Test,,A test run by startups to validate hypotheses through pass/fail criteria and learn from results.,operations,,Source: lean-startup-glossary.md,
fair-housing-act,Fair Housing Act,FHA|Fair Housing Laws|Housing Discrimination Laws,,"Federal legislation that prohibits discrimination in housing based on race, color, religion, sex, national origin, disability, or familial status.",strategy-planning,,Source: retail-property-glossary.md,
feature,Feature,Functionality,,A distinct element or function of a product that provides value to users.,product-management,,Source: product-management-glossary.md,
feature-engineering,Feature Engineering,Feature Creation|Feature Selection|Feature Development|Data Engineering,,"The process of selecting, modifying, or creating new features from raw data to improve machine learning model performance and accuracy.",ai-machine-learning,,Source: ai-glossary.md,
featured-snippets,Featured Snippets,Position Zero|Answer boxes|Quick answers|Direct answers,,"Special search result boxes appearing above organic results, providing direct answers to queries, often called ""Position Zero"" and dramatically increasing organic traffic.",marketing-seo,,Source: seo-glossary.md,
featured-snippets-captured,Featured Snippets Captured,FSC|Snippet Count|Featured Positions|Answer Box Captures|Position Zero Wins,,"The number of Google featured snippet positions achieved for tracked keywords, where website content appears in the prominent answer box above organic results, indicating authority and relevance.",marketing-seo,,Source: marketing-terms-glossary.md,
fine-tuning,Fine-Tuning,Model Fine-Tuning|Parameter Tuning|Model Adaptation|Customization,,The process of adapting a pre-trained AI model to perform specific tasks by training it on specialized datasets to improve performance for particular use cases.,ai-machine-learning,,Source: ai-glossary.md,
first-mover-advantage,First Mover Advantage,FMA|FMA,,The competitive edge gained by being the first to enter a market or offer a new product.,strategy-planning,,Source: lean-startup-glossary.md,
first-response-time,First Response Time,FRT|Initial Response Time|Response Speed|Time to First Response|Initial Contact Time,,"The average duration between initial lead capture or inbound inquiry and the first meaningful communication attempt or response from the business, typically measured in minutes or hours.",marketing-seo,,Source: marketing-terms-glossary.md,
follow-up-completion-rate,Follow-up Completion Rate,FCR|Follow-up Success Rate|Task Completion Rate|Follow-up Execution Rate|Task Success Percentage,,"The percentage of scheduled or automated follow-up tasks that are successfully completed within the designated timeframe, calculated by dividing completed follow-ups by total scheduled follow-ups and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
foot-traffic,Foot Traffic,Pedestrian Traffic|Customer Flow|Visitor Count|Customer Traffic,,"The number of people who visit or pass through a retail property, measured to assess the location's potential for generating customer visits and sales.",property-management,,Source: retail-property-glossary.md,
form-submission-rate,Form Submission Rate,FSR|Form Completion Rate|Submission Rate|Form Conversion Rate|Form Fill Rate,,"The percentage of landing page or website visitors who complete and submit a contact form, calculated by dividing total form submissions by total page views and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
framework,Framework,Software Framework|Development Framework|Platform|Foundation,,"A pre-built software structure that provides a foundation for developing applications, including libraries, tools, and conventions to streamline development.",software-development,,"Source: process-management-glossary.md, software-dev-glossary.md",
freemium,Freemium,,,A business model offering basic services for free while charging for advanced features.,strategy-planning,,Source: lean-startup-glossary.md,
frontend,Frontend,Front-End|Client-Side|User Interface|Client Side,,"The client-side part of a software application that users interact with directly, including the user interface and user experience elements.",software-development,,Source: software-dev-glossary.md,
functional-requirements,Functional Requirements,FR|Feature Requirements|Service Features|Capability Requirements,,"Specific behaviors, functions, or capabilities that a service must provide to meet user needs and business objectives.",product-management,,Source: service-as-product-glossary.md,
gdpr,GDPR,General Data Protection Regulation|General Data Protection Regulation|EU Privacy Regulation|Data Protection Law,,"A European Union regulation that governs data protection and privacy for individuals, setting strict requirements for how organizations handle personal data.",operations,,Source: data-management-glossary.md,
generative-ai,Generative AI,GenAI|Generative Artificial Intelligence|Content Generation AI|Creative AI,,"AI systems that can create new content including text, images, audio, or code by learning patterns from training data and generating original outputs.",ai-machine-learning,,Source: ai-glossary.md,
git,Git,Git VCS|Git Version Control|Version Control|Source Control,,"A distributed version control system that tracks changes in source code during software development, enabling collaboration and version management.",software-development,,Source: software-dev-glossary.md,
go-live,Go-Live,Launch|Activation|Launch Date|Activation Date,,The milestone when a client's GHL sub-account becomes fully operational and the client begins actively using the platform for their business operations. Go-live marks the transition from implementation to ongoing support and optimization.,operations,,Source: sc-approved-terminology.md,
go-to-market-gtm-strategy,Go-To-Market (GTM) Strategy,GTM|Launch Strategy,,A plan that outlines how a company will launch a product to the market and achieve competitive advantage.,strategy-planning,,Source: product-management-glossary.md,
go-to-market-strategy,Go-To-Market Strategy,GTM|Go-to-market|Market entry strategy|Launch strategy|Market penetration plan|Customer acquisition strategy|Market Strategy,,A plan that specifies how a company will reach target customers and achieve competitive advantage when launching a product or service.,marketing-seo,,"Source: business-plan-glossary.md, service-as-product-glossary.md",
google-business-profile,Google Business Profile,GBP|Google My Business|GMB|Business listing,,"A free platform allowing businesses to manage online presence across Google Search and Maps, fundamental to local search visibility and Local Pack appearance.",marketing-seo,,Source: seo-glossary.md,
google-business-profile-actions,Google Business Profile Actions,GBP Actions|Profile Actions|GMB Conversions|Business Profile Interactions|Profile Engagement Actions,,"The total count of user interactions taken from a Google Business Profile including phone calls, direction requests, website clicks, and booking actions, measuring conversion from local search.",marketing-seo,,Source: marketing-terms-glossary.md,
google-business-profile-views,Google Business Profile Views,GBP Views|Profile Views|GMB Views|Business Listing Views|Google Profile Impressions,,"The total number of times a business's Google Business Profile listing has been viewed by users in Google Search and Maps, indicating local visibility and discovery potential.",marketing-seo,,Source: marketing-terms-glossary.md,
gross-leasable-area,Gross Leasable Area,GLA|Total Leasable Area|Rentable Area|Leasable Space|Rental Area,,"The total floor space in a commercial property that can be rented to tenants, measured from the outside walls and including both tenant-specific areas and common areas. GLA is used to calculate rental rates, determine tenant proportionate shares, and assess property performance metrics for shopping centers and retail properties.",property-management,,Source: retail-property-glossary.md,
gross-lease,Gross Lease,Full Service Lease|All-Inclusive Lease|Full Service Gross|Inclusive Lease|Service Lease,,"A lease structure where tenants pay a single amount that covers base rent and all operating expenses including taxes, insurance, maintenance, and utilities. Under a gross lease, landlords are responsible for all property operating costs, providing tenants with predictable monthly payments but typically at higher rental rates to cover landlord risk.",leasing-tenancy,,Source: retail-property-glossary.md,
gross-rent-multiplier,Gross Rent Multiplier,GRM|Gross Income Multiplier|Rent Multiple|Income Multiple,,"A simple valuation metric that compares a property's purchase price to its gross rental income, used for quick property evaluation and comparison.",strategy-planning,,Source: retail-property-glossary.md,
growth-hacking,Growth Hacking,Growth Marketing,,"Rapid, cost-effective marketing techniques focused on accelerating user growth and engagement.",marketing-seo,,Source: lean-startup-glossary.md,
guest-posting,Guest Posting,Guest blogging|Guest articles|Contributor posts,,"Writing and publishing content on other websites in your industry, typically including links back to your site, demonstrating expertise while earning quality backlinks.",marketing-seo,,Source: seo-glossary.md,
guide,Guide,,,"An instructional document that provides flexible guidance, best practices, and recommendations for achieving an objective, allowing for situational judgment.",operations,,Source: process-management-glossary.md,
hallucination,Hallucination,AI Hallucination|Model Hallucination|False Generation|Fabrication,,"When AI models generate false, misleading, or nonsensical information that appears plausible but is not based on factual data or training information.",ai-machine-learning,,Source: ai-glossary.md,
header-tags,Header Tags,H1|H2|H3|H4|H5|H6|Heading tags|H-tags|Heading elements,,"HTML elements (H1-H6) creating content hierarchy through headings and subheadings, with H1 being most important for content structure and SEO.",marketing-seo,,Source: seo-glossary.md,
highest-and-best-use,Highest and Best Use,HBU|Optimal Use Analysis|Most Profitable Use|Maximum Value Use,,"The legal use of a property that is physically possible, appropriately supported, financially feasible, and results in the highest property value.",valuation-finance,,Source: retail-property-glossary.md,
hybrid-service-model,Hybrid Service Model,HSM|Mixed Service Model|Combined Service Approach|Integrated Service Model,,A service delivery approach that combines multiple service types or delivery methods to provide comprehensive solutions.,service-design,,Source: service-as-product-glossary.md,
hypothesis,Hypothesis,Assumption,,An assumption or educated guess made by startups to be validated through experiments and data.,operations,,"Source: lean-startup-glossary.md, product-management-glossary.md",
implementation,Implementation,Impl|Client Implementation|GHL Implementation|Configuration|Technical Setup,,"The technical setup and configuration work performed within the client onboarding process. Implementation is a subset of onboarding that focuses specifically on configuring the GHL sub-account, workflows, automations, and integrations according to client requirements.",operations,,Source: sc-approved-terminology.md,
implementation-lifecycle-vs-marketing-funnel,Implementation Lifecycle vs. Marketing Funnel,,,,,,Source: marketing-terms-glossary.md,
in-line-tenant,In-Line Tenant,Strip Tenant|Shop Tenant|Secondary Tenant|Small Tenant,,"Smaller retail tenants in a shopping center or mall that occupy spaces between anchor tenants, typically local businesses or smaller chains.",property-management,,Source: retail-property-glossary.md,
income-approach,Income Approach,Income Capitalization Approach|Investment Approach|Revenue Approach,,"A property valuation method that estimates value based on the property's ability to generate income, typically using capitalization or discounted cash flow analysis.",valuation-finance,,Source: retail-property-glossary.md,
increment,Increment,Product Increment,,The sum of all product backlog items completed during a sprint plus the increments of all previous sprints.,product-management,,Source: product-management-glossary.md,
indexing,Indexing,Database Indexing|Data Indexing|Performance Enhancement|Query Optimization,,A database technique that creates additional data structures to improve the speed of data retrieval operations by providing faster access paths to information.,operations,,Source: data-management-glossary.md,
industrial-property,Industrial Property,Industrial Real Estate|Manufacturing Property|Industrial Facility,,"Real estate designed and used for manufacturing, production, distribution, storage, and other industrial activities, typically located in designated industrial zones.",leasing-tenancy,,Source: retail-property-glossary.md,
inference,Inference,Model Inference|AI Inference|Prediction|Output Generation,,"The process of using a trained AI model to make predictions, generate outputs, or analyze new data without further training.",ai-machine-learning,,Source: ai-glossary.md,
infrastructure-as-a-service,Infrastructure-as-a-Service,IaaS|Infrastructure as a Service|Cloud Infrastructure|Virtual Infrastructure,,A cloud computing service model that provides virtualized computing resources over the internet on a pay-as-you-go basis.,platform-services,,Source: service-as-product-glossary.md,
inline-store,Inline Store,Shop Space|Corridor Store|Mall Shop|Corridor Tenant,,"Traditional retail spaces located along the corridors or main walkways of shopping centers and malls, positioned between anchor tenants. Inline stores are typically smaller specialty retailers that benefit from the foot traffic generated by anchor tenants and represent the majority of tenant spaces in most shopping centers.",property-management,,Source: retail-property-glossary.md,
innovation-accounting,Innovation Accounting,,,"A method for measuring progress, defining milestones, and prioritizing work in startups based on validated learning.",operations,,Source: lean-startup-glossary.md,
insurance-requirements,Insurance Requirements,Insurance Provisions|Coverage Requirements|Insurance Obligations|Coverage Mandates,,"Mandatory insurance coverage that tenants or property owners must maintain, including liability, property, and other specific insurance types as outlined in lease agreements.",strategy-planning,,Source: retail-property-glossary.md,
integration,Integration,System Integration|API Integration|Connection|Interconnection|Software Integration|Combination,,"The process of combining different software components, systems, or services to work together as a unified whole, often through APIs or middleware.",software-development,,"Source: ai-glossary.md, software-dev-glossary.md",
intellectual-property,Intellectual Property,IP|Proprietary assets|Intangible assets|Trade secrets|Proprietary technology,,"Proprietary tools, content, processes, and systems that provide competitive advantage and are legally protected from unauthorized use.",strategy-planning,,"Source: business-plan-glossary.md, lean-startup-glossary.md",
intent-driven-optimization,Intent-Driven Optimization,Search intent optimization|User intent SEO,,"SEO strategy prioritizing understanding and matching user search intent rather than focusing solely on specific keywords, emphasizing contextual understanding.",marketing-seo,,Source: seo-glossary.md,
internal-linking,Internal Linking,Internal links|Site linking|Intra-site linking,,"Links connecting pages within the same website, helping search engines understand site structure, discover content, and distribute page authority.",marketing-seo,,Source: seo-glossary.md,
internal-rate-of-return,Internal Rate of Return,IRR|Investment Return Rate|Compound Return Rate,,"A financial metric that calculates the annualized rate of return on a real estate investment, considering the time value of money and all cash flows over the investment period.",strategy-planning,,Source: retail-property-glossary.md,
iot-sensors,IoT Sensors,IoT|Internet of Things Sensors|Smart Sensors|Connected Sensors|Smart Devices,,"Internet of Things devices that collect and transmit data about property conditions, usage patterns, and system performance to enable smart building management and automation.",software-development,,Source: retail-property-glossary.md,
iteration,Iteration,Sprint|Development Cycle,,The repetition of a process aimed at refining a product or service based on feedback and learning.,operations,,"Source: lean-startup-glossary.md, product-management-glossary.md",
journey-orchestration,Journey Orchestration,JO|Experience Orchestration|Customer Journey Automation|Touchpoint Coordination,,The automated coordination and optimization of customer interactions across multiple touchpoints and channels.,service-design,,Source: service-as-product-glossary.md,
json,JSON,JavaScript Object Notation|JavaScript Object Notation|Data Format|Object Notation,,"A lightweight, text-based data interchange format that is easy for humans to read and write and easy for machines to parse and generate.",data-management,,Source: data-management-glossary.md,
kano-model,Kano Model,,,"A theory for product development categorizing customer preferences into basic needs, performance, and excitement factors.",marketing-seo,,Source: product-management-glossary.md,
key-performance-indicator,Key Performance Indicator,KPI|Performance Metric,,A measurable value that indicates how effectively a company is achieving key business objectives.,operations,,"Source: lean-startup-glossary.md, product-management-glossary.md",
key-performance-indicators,Key Performance Indicators,KPIs|Performance metrics|Success metrics|Performance indicators|Success measures,,Measurable values that demonstrate how effectively a company is achieving key business objectives and strategic goals.,strategy-planning,,Source: business-plan-glossary.md,
key-result,Key Result,KR|KR|Outcome,,A measurable outcome used to track progress toward an objective in the OKR framework.,strategy-planning,,Source: product-management-glossary.md,
keyword-rankings,Keyword Rankings,KR|Search Rankings|SERP Position|Search Position|Ranking Position,,"The position of a website's pages in search engine results pages for specific target keywords, typically tracked for top 10 and top 3 positions indicating visibility and SEO performance.",marketing-seo,,Source: marketing-terms-glossary.md,
keywords,Keywords,KW|Search terms|Key phrases|Search queries,,"Words or phrases that users enter into search engines when looking for information, products, or services, representing the connection between user intent and content.",marketing-seo,,Source: seo-glossary.md,
kiosk,Kiosk,Retail Merchandising Unit|Cart|Pushcart|RMU|Retail Cart,,"A small, often temporary retail unit typically located in common areas or mall corridors, offering a 360-degree selling environment with high visibility and foot traffic. Kiosks provide an affordable entry point for retailers to test markets or seasonal concepts and generate additional revenue for property owners from previously unused space.",property-management,,Source: retail-property-glossary.md,
knowledge-as-a-service,Knowledge-as-a-Service,KaaS|Knowledge as a Service|Expertise Service|Information Service,,"A service model that provides access to specialized knowledge, expertise, and information through standardized delivery mechanisms.",service-design,,Source: service-as-product-glossary.md,
kubernetes,Kubernetes,K8s|K8s|Container Orchestration|Container Orchestrator|Application Orchestration,,"An open-source container orchestration platform that automates the deployment, scaling, and management of containerized applications across clusters.",platform-services,,Source: software-dev-glossary.md,
landing-page,Landing Page,Destination Page,,"The first page a visitor lands on after clicking a link, designed to prompt a specific action.",marketing-seo,,Source: product-management-glossary.md,
landing-page-conversion-rate,Landing Page Conversion Rate,LPCR|LCR|Page Conversion Rate|LP Conversion|Landing Page Performance|Page Conversion Percentage,,"The percentage of visitors to a specific landing page who complete the desired action, such as form submission or appointment booking, calculated by dividing conversions by total visitors and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
large-language-model,Large Language Model,LLM|Language Model|Text Generation Model,,"A type of AI model trained on vast amounts of text data that can understand, generate, and manipulate human language for various applications.",ai-machine-learning,,Source: ai-glossary.md,
